Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
EHS/OSHA compliance,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2377.732384,440,3100,253.73,5500
Insurance contracting,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2325,15750,1117.18,27250
Insurance contracting,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2375,16750,1231.83,28750
Insurance contracting,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,1450,7250,669.82,14250
Insurance contracting,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2325,16000,1373.06,28750
Insurance contracting,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,460,3350,255.49,5750
Actuarial analytics,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2428.27381,2400,17000,1198,29000
Actuarial analytics,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2428.27381,2375,17250,1115.6,28750
Actuarial analytics,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2428.27381,1425,7250,614.01,14000
Actuarial analytics,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2428.27381,2350,16250,1396.88,29000
Actuarial analytics,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2428.27381,460,3100,255.67,5500
Utilization review committee,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2405.366181,2375,16000,1091.14,27500
Utilization review committee,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2405.366181,2325,15750,1036.07,26750
Utilization review committee,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2405.366181,1425,7500,620.02,14250
Utilization review committee,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2405.366181,2400,16250,1249.35,28500
Utilization review committee,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2405.366181,440,2975,229.57,5250
Data governance,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2293.822753,2350,16750,1237.04,28750
Data governance,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2293.822753,2400,17250,1175.14,29250
Data governance,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2293.822753,1400,6750,585.83,13250
Data governance,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2293.822753,2400,16250,1349.2,29000
Data governance,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2293.822753,460,3375,251.3,5750
Health informatics,Portable refrigerator/freezer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,720,5250,265.14,8500
Health informatics,Vaccine cold-chain monitors,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2150,15500,1160.27,26750
Health informatics,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,510,3575,248.53,6000
Health informatics,Rapid test readers,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2200,15750,1212.52,27250
Health informatics,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,1400,7250,677.29,14250
Health informatics,PCR,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,1125,8250,573.94,14000
Health informatics,Biosafety cabinet,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,1625,11750,811.01,19750
Health informatics,Portable oxygen concentrator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2175,15250,697.3,24250
Health informatics,Nebulizer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2100,14500,958.12,24500
Health informatics,BP monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2200,15250,1216.31,26750
Health informatics,Pulse oximeter,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2150,15250,971.61,25500
Health informatics,Glucose meter,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2200,15500,1156.3,26750
Health informatics,CPAP/BiPAP,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,1775,10250,759.62,18500
Health informatics,Hospital bed,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,2100,14250,899.77,24000
Health informatics,Suction device,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2207.425847,560,3825,396.61,7250
Interoperability/HL7/FHIR,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2288.058156,2250,16500,1098.84,27500
Interoperability/HL7/FHIR,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2288.058156,2300,16250,1063.94,27250
Interoperability/HL7/FHIR,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2288.058156,1425,7000,587.84,13500
Interoperability/HL7/FHIR,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2288.058156,2275,15500,1139.6,27000
Interoperability/HL7/FHIR,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2288.058156,460,3250,275.14,5750
Clinical policy management,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,400,2925,197.29,4900
Clinical policy management,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,1425,6750,643.09,13500
Clinical policy management,ECG/EKG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,460,3100,242.17,5500
Clinical policy management,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,400,2800,241.66,5000
Clinical policy management,Doppler/ABI,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,390,2775,179.24,4650
Clinical policy management,Spirometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,380,2550,173.12,4375
Clinical policy management,Thermometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,390,2875,183.26,4775
Clinical policy management,Otoscope/Ophthalmoscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,400,2825,180.69,4725
Clinical policy management,Centrifuge,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,590,3650,278.06,6500
Clinical policy management,Refrigerator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,700,4975,322.39,8250
Clinical policy management,Defibrillator (AED),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,860,4425,342.66,8250
Clinical policy management,Pulse oximeter,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,390,2675,202.94,4675
Clinical policy management,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,2500,25500,1637.09,40000
Clinical policy management,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,390,2825,203.84,4825
Clinical policy management,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,560,3800,345.27,7000
Clinical policy management,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,500,3425,228.69,5750
Clinical policy management,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,600,4175,293.27,7250
Clinical policy management,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,400,400,590,4050,279.54,7000
Credentialing verification org (CVO),Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,2575,25500,1808.4,41000
Credentialing verification org (CVO),Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,2500,17500,1305.11,30250
Credentialing verification org (CVO),Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,540,3825,377.03,7000
Credentialing verification org (CVO),Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,490,3350,233.28,5750
Credentialing verification org (CVO),Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,600,4375,292.12,7250
Credentialing verification org (CVO),Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2427.826003,580,3950,252.07,6750
HIPAA security risk analysis,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2434.573864,2400,16000,1116.27,27500
HIPAA security risk analysis,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2434.573864,2350,16750,1115,28250
HIPAA security risk analysis,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2434.573864,1375,6750,617.98,13250
HIPAA security risk analysis,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2434.573864,2300,15750,1325.05,28250
HIPAA security risk analysis,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2434.573864,450,3175,250.39,5500
HITECH breach response,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,2450,25500,1719.33,40250
HITECH breach response,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,2400,17250,1253.01,29500
HITECH breach response,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,540,3750,355.84,7000
HITECH breach response,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,510,3650,277.24,6250
HITECH breach response,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,590,4325,326.55,7500
HITECH breach response,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2437.414122,600,4100,300.28,7000
Medicare cost reporting,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2425,17500,1283.47,30000
Medicare cost reporting,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2400,17250,1293.67,29750
Medicare cost reporting,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,1425,7500,633.98,14250
Medicare cost reporting,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,2375,16500,1371.05,29250
Medicare cost reporting,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.852873,440,2925,210.68,5000
CMS star ratings team,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2417.633861,2325,16250,1086.7,27500
CMS star ratings team,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2417.633861,2325,16250,1227.36,28250
CMS star ratings team,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2417.633861,1375,6750,577.57,13000
CMS star ratings team,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2417.633861,2375,16250,1258.21,28500
CMS star ratings team,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2417.633861,440,3025,222.66,5250
Appeals & grievances,Portable X-ray,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,3450,33250,3468.59,59000
Appeals & grievances,Ultrasound point-of-care,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,1200,10000,725.99,16750
Appeals & grievances,Ventilator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,1750,11000,830.42,19500
Appeals & grievances,Defibrillator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,860,4425,355.84,8250
Appeals & grievances,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,450,3125,225.05,5500
Appeals & grievances,Infusion pump,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,2475,18000,1352.94,31000
Appeals & grievances,Capnograph,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,2375,16000,1045.47,27250
Appeals & grievances,Video laryngoscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,2400,16250,1089.56,27750
Appeals & grievances,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,540,3975,365.85,7250
Appeals & grievances,Crash cart,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2406.134119,2375,16250,1166.61,28000
Member services call center,Anesthesia machine,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2150,15250,1292.01,27000
Member services call center,Operating table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,1400,7000,673.47,13750
Member services call center,Surgical lights,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,930,4725,454.52,9250
Member services call center,Patient monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,640,4550,352.82,8000
Member services call center,Infusion pumps,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2775,19000,1320.51,32500
Member services call center,Electrosurgical unit (ESU),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,960,4600,470.95,9250
Member services call center,Suction regulator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,220,1575,167.45,2950
Member services call center,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,1425,7250,601.7,13750
Member services call center,Washer-disinfector,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,1300,7500,812.9,14750
Member services call center,Endoscopy tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2525,25000,1705.31,39750
Member services call center,Insufflator,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,900,9000,640.44,14500
Member services call center,C-arm fluoroscopy (orthopedics),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,7250,69000,6714.61,120500
Member services call center,Tourniquet system,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2800,20000,1285.99,33500
Member services call center,MRI scanner,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,17750,439000,42614.53,696500
Member services call center,CT scanner,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,8750,163000,15891.61,264500
Member services call center,Digital X-ray,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,3525,35250,3190.81,60000
Member services call center,Mammography system,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,4425,55500,6059.15,97000
Member services call center,Ultrasound,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,1225,10250,856.68,17500
Member services call center,DEXA (bone densitometer),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2775,20000,1394.06,34000
Member services call center,PACS workstation,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,1200,8750,626.55,15000
Member services call center,Hemodialysis machine,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2550,29500,2057.73,46250
Member services call center,Water purification system (RO),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2575,30750,2190.56,48250
Member services call center,Dialyzer reprocessing*,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2525,18250,1355,31250
Member services call center,Weighing scale,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2800,19500,1469.57,33750
Member services call center,Heparin pump,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2725,18500,1335.95,32000
Member services call center,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2550,25000,1577.32,39250
Member services call center,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2725,18750,1331.38,32250
Member services call center,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,560,3775,378.5,7000
Member services call center,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,510,3525,271.08,6250
Member services call center,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,610,4275,281.48,7250
Member services call center,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,580,4250,268.25,7000
Member services call center,Gastroscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2525,17000,1217.95,29500
Member services call center,Colonoscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,2450,16750,1220.28,29000
Member services call center,Light source,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,900,9000,661.84,14500
Member services call center,ESU,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,930,4825,469.25,9500
Member services call center,C-arm,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2718.31861,7000,71000,6592.22,121500
Provider directory management,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,2525,24250,1743.94,39250
Provider directory management,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,2525,17750,1252.12,30250
Provider directory management,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,550,3750,398.97,7000
Provider directory management,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,490,3525,237.49,6000
Provider directory management,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,580,4075,300.21,7000
Provider directory management,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2423.550452,600,4050,297.38,7000
Price transparency program,General diagnostic set,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2407.120536,2425,17500,1324.8,30250
Price transparency program,Examination table,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2407.120536,2425,16500,1169.32,28500
Price transparency program,Autoclave,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2407.120536,1400,7250,704.8,14250
Price transparency program,Vital signs monitor,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2407.120536,2425,17500,1376.3,30500
Price transparency program,ECG,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2407.120536,440,3225,239.14,5500
No Surprises Act implementation,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,2475,25750,1678.11,40250
No Surprises Act implementation,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,2450,18000,1297.05,30500
No Surprises Act implementation,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,540,3675,336.33,6750
No Surprises Act implementation,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,490,3500,256.69,6000
No Surprises Act implementation,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,600,4225,319.5,7250
No Surprises Act implementation,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2418.051471,580,4125,301.19,7000
Patient access API program,Endoscope (rigid/flexible),HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,2575,26000,1794.89,41500
Patient access API program,Video tower,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,2350,16500,1083.33,27750
Patient access API program,Suction,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,540,3600,384.02,6750
Patient access API program,Microscope,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,490,3275,223.2,5500
Patient access API program,Audiometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,590,4225,271.38,7000
Patient access API program,Tympanometer,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2396.204631,610,4475,342.23,7750
Prior auth API program,Anesthesia machine,HIPAA; HITECH; CMS/TJC; OSHA; GDPR (EU); NIS2 (EU); ISO/IEC 27001,1,,2414.766325,2250,16000,1206.63,27750
